Relay URL,Latitude,Longitude,IsBitChat
strfry.shock.network:443,39.0438,-77.4874,1
nostr.girino.org,43.6532,-79.3832,1
relay.comcomponent.com,43.6532,-79.3832,1
relay2.angor.io:443,48.1046,11.6002,1
relay.mitchelltribe.com:443,39.0438,-77.4874,1
relay.typedcypher.com:443,51.5072,-0.127586,1
testnet-relay.samt.st:443,40.8302,-74.1299,1
relay.agorist.space:443,52.3734,4.89406,1
fanfares.nostr1.com:443,40.7057,-74.0136,1
blossom.gnostr.cloud,43.6532,-79.3832,1
articles.layer3.news:443,37.3387,-121.885,1
nostr.stakey.net,52.3676,4.90414,1
relayone.geektank.ai,39.1008,-94.5811,1
relay1.orangesync.tech,44.7839,-106.941,1
relay.wavefunc.live,41.8781,-87.6298,1
vault.iris.to,43.6532,-79.3832,1
freelay.sovbit.host,60.1699,24.9384,1
relay.vrtmrz.net,43.6532,-79.3832,1
ribo.eu.nostria.app:443,43.6532,-79.3832,1
relay.notoshi.win:443,13.3622,100.983,1
herbstmeister.com,34.0549,-118.243,1
relay.satmaxt.xyz,43.6532,-79.3832,1
nostr.computingcache.com,34.0356,-118.442,1
nexus.libernet.app:443,43.6532,-79.3832,1
rilo.nostria.app:443,43.6532,-79.3832,1
relay0.gfcom.info,13.7853,100.67,1
nos.lol:443,50.4754,12.3683,1
prl.plus,55.7628,37.5983,1
relay.openresist.com,43.6532,-79.3832,1
nostr-2.21crypto.ch:443,47.5356,8.73209,1
relay.staging.plebeian.market:443,51.5072,-0.127586,1
nostr.mom:443,50.4754,12.3683,1
wot.utxo.one,43.6532,-79.3832,1
node.kommonzenze.de,49.4521,11.0767,1
nostr.myshosholoza.co.za,52.3913,4.66545,1
relay.nostr.place,43.6532,-79.3832,1
nostr.chaima.info,50.1109,8.68213,1
relay.gulugulu.moe,43.6532,-79.3832,1
syb.lol,43.6532,-79.3832,1
nostr.dlcdevkit.com,40.0992,-83.1141,1
dev-nostr.bityacht.io,43.6532,-79.3832,1
relay.jeffg.fyi,43.6532,-79.3832,1
wot.makenomistakes.ca,43.7064,-79.3986,1
nostr.4rs.nl,49.0291,8.35696,1
relay.nostrmap.net:443,60.1699,24.9384,1
